"Metric","ICC_Value","Lower_CI","Upper_CI","Interpretation"
"Number of Peaks",0.9996,0.9993,0.9997,"Excellent"
"Heart Rate (BPM)",0.9995,0.9993,0.9997,"Excellent"
"Mean RR (ms)",0.9995,0.9993,0.9997,"Excellent"
"RMSSD (ms)",0.9411,0.9101,0.9611,"Excellent"
"pNN50 (%)",0.9998,0.998,0.9999,"Excellent"
"SDNN (ms)",0.8341,0.7542,0.8882,"Good"
"SD1 (ms)",0.2829,-0.0496,0.6468,"Poor"
"SD2 (ms)",0.7026,-0.0578,0.8991,"Moderate"
"SD1/SD2 Ratio",0.012,-0.0061,0.0559,"Poor"
"LF/HF Ratio",0.8251,0.6897,0.8954,"Good"
"LF",0.825,0.6838,0.8965,"Good"
"HF",0.9228,0.8858,0.9479,"Excellent"
